col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
Jacque P Whaumbush,,,1,7,13,8,10,6,7,10,7,3,7,3,5,3,1,3,1,5,2,0,1,2,0,0,2,1,29
Joshua Roberts,,,,2,16,9,6,10,17,12,20,17,7,6,14,15,5,3,15,6,4,13,0,6,5,2,2,1,29
Jennifer Schultz,,,,,2,13,8,6,17,13,4,8,3,10,6,16,8,9,2,3,5,1,2,4,4,2,1,1,29
Kendra Mccrae,,,,,,1,19,19,5,21,12,16,21,12,10,7,11,9,0,6,6,0,1,4,6,3,0,2,29
Leon Goodman,,,,,,,1,12,14,13,15,8,18,14,7,5,6,7,0,5,5,0,7,3,4,4,2,0,29
Laurie Dow,,,,,,,,2,4,16,8,10,15,11,8,4,8,11,1,6,0,2,2,5,4,3,4,4,29
Craig Levin,,,,,,,,,1,7,7,4,4,13,5,14,4,5,1,3,3,0,9,3,2,2,1,2,29
Terri M Booker,,,,,,,,,,0,14,10,16,9,8,4,6,7,1,7,4,0,2,3,5,2,0,1,29
Sherman Toppin,,,,,,,,,,,1,20,11,2,13,2,4,3,11,5,1,12,0,0,3,0,1,0,29
Cateria R Mccabe,,,,,,,,,,,,0,7,6,15,4,7,6,11,4,1,12,0,1,3,3,0,0,29
Tiffany Palmer,,,,,,,,,,,,,0,8,7,4,9,6,2,6,7,0,1,3,4,1,2,1,29
Nicola Serianni,,,,,,,,,,,,,,0,5,7,5,9,1,5,4,2,10,2,0,2,2,3,29
Carmella Jacquinto,,,,,,,,,,,,,,,0,3,5,4,10,4,2,11,1,3,2,2,3,2,29
Jon Marshall,,,,,,,,,,,,,,,,0,3,4,0,0,4,1,0,2,2,0,1,0,29
Wendi Barish,,,,,,,,,,,,,,,,,0,11,2,2,3,0,1,5,2,1,1,1,29
Beth Grossman,,,,,,,,,,,,,,,,,,0,1,2,3,2,1,2,2,2,2,1,29
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,0,0,2,11,0,2,1,0,0,0,29
Kay Yu,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,1,0,29
Chris Hall,,,,,,,,,,,,,,,,,,,,,1,0,0,3,4,0,0,0,29
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,29
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,2,29
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,2,29
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,29
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,29
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,29
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29
Total,96,28,27,53,52,45,44,43,42,41,39,36,36,34,32,24,24,23,16,16,14,14,12,12,12,7,6,5,29
,Register Of Wills - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,30
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Joshua Roberts,Carmella Jacquinto,Cateria R Mccabe,Jennifer Schultz,Kendra Mccrae,Anthony Kyriakakis,Leon Goodman,Craig Levin,Sherman Toppin,Tiffany Palmer,Henry Mcgregor Sias,Laurie Dow,Terri M Booker,James C Crumlish,Jon Marshall,Nicola Serianni,Wendi Barish,Janine D Momasso,Chris Hall,Beth Grossman,Kay Yu,James F Berardinelli,Robert Trimble,Vicki Markovitz,Gregory Weyer,30
Tracey Gordon,8,0,0,17,11,10,24,21,8,18,15,9,17,4,11,11,4,8,13,7,5,8,6,6,4,4,5,2,30
Ronald R Donatucci,,1,0,40,27,29,8,5,23,7,9,24,8,23,6,7,11,8,6,6,1,4,5,2,1,3,2,0,30
Jacque P Whaumbush,,,2,5,18,11,11,15,8,11,11,1,7,1,10,8,9,5,3,8,12,4,2,3,4,2,2,3,30
Joshua Roberts,,,,2,30,30,10,6,22,10,10,29,5,24,3,7,7,8,5,4,2,3,4,1,1,3,0,1,30
Carmella Jacquinto,,,,,1,35,5,11,25,13,10,24,5,21,11,8,9,2,4,8,12,2,4,4,4,2,2,2,30
Cateria R Mccabe,,,,,,0,5,14,29,10,4,29,5,27,11,6,4,4,7,6,9,1,0,2,2,2,3,1,30
Jennifer Schultz,,,,,,,0,14,4,8,13,2,10,0,6,6,5,11,12,10,4,2,5,7,1,2,6,0,30
Kendra Mccrae,,,,,,,,0,8,19,7,4,17,1,12,15,4,4,7,9,10,6,4,7,2,3,2,1,30
Anthony Kyriakakis,,,,,,,,,0,8,4,22,7,23,3,2,5,1,3,4,6,5,4,1,2,1,1,0,30
Leon Goodman,,,,,,,,,,0,10,3,10,1,9,10,5,3,8,7,7,7,4,2,2,3,1,3,30
Craig Levin,,,,,,,,,,,1,3,3,2,12,3,11,7,9,4,6,3,6,0,5,1,3,3,30
Sherman Toppin,,,,,,,,,,,,0,3,23,4,3,1,0,2,0,2,3,1,1,3,0,0,0,30
Tiffany Palmer,,,,,,,,,,,,,0,4,6,11,6,5,5,9,2,12,5,7,1,4,2,1,30
Henry Mcgregor Sias,,,,,,,,,,,,,,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,30
Laurie Dow,,,,,,,,,,,,,,,0,5,7,1,6,6,8,2,3,2,6,1,2,0,30
Terri M Booker,,,,,,,,,,,,,,,,0,5,2,4,6,0,8,4,5,0,4,1,2,30
James C Crumlish,,,,,,,,,,,,,,,,,0,7,5,9,5,6,2,1,5,3,0,0,30
Jon Marshall,,,,,,,,,,,,,,,,,,2,4,1,2,2,0,1,0,5,2,0,30
Nicola Serianni,,,,,,,,,,,,,,,,,,,0,9,2,1,1,2,2,1,4,2,30
Wendi Barish,,,,,,,,,,,,,,,,,,,,0,2,3,5,2,1,1,2,0,30
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,1,0,0,1,6,1,1,1,30
Chris Hall,,,,,,,,,,,,,,,,,,,,,,0,4,3,1,2,0,2,30
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,2,0,30
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,30
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,30
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,30
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30
Total,69,64,38,64,59,52,43,43,41,39,36,35,32,29,28,26,25,23,23,22,19,16,13,11,9,9,9,5,30
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,31
,Joshua Roberts,Cateria R Mccabe,Sherman Toppin,Carmella Jacquinto,Kendra Mccrae,Anthony Kyriakakis,Craig Levin,Jennifer Schultz,Terri M Booker,Henry Mcgregor Sias,Leon Goodman,Tiffany Palmer,Chris Hall,Jon Marshall,Laurie Dow,Beth Grossman,Wendi Barish,Nicola Serianni,Janine D Momasso,Kay Yu,Vicki Markovitz,James F Berardinelli,James C Crumlish,Gregory Weyer,Robert Trimble,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,31
Joshua Roberts,3,29,32,25,10,29,12,9,8,25,8,8,6,10,4,4,5,2,2,1,1,3,3,1,0,42,20,7,31
Cateria R Mccabe,,1,29,26,12,24,5,6,8,24,7,5,4,2,4,3,2,0,5,1,2,2,2,0,1,27,9,2,31
Sherman Toppin,,,1,23,14,24,5,3,6,25,5,4,5,2,5,2,3,3,2,0,2,1,1,1,0,26,11,2,31
Carmella Jacquinto,,,,1,11,21,6,3,4,19,10,5,4,0,3,3,6,4,5,3,4,1,1,0,1,24,10,3,31
Kendra Mccrae,,,,,3,2,6,8,15,2,11,12,8,4,8,5,3,4,3,6,2,2,0,1,2,8,21,5,31
Anthony Kyriakakis,,,,,,0,2,1,4,23,5,4,4,1,2,4,0,4,2,1,0,0,1,1,0,23,6,4,31
Craig Levin,,,,,,,1,8,3,1,9,3,5,7,4,3,3,4,2,1,4,2,5,3,1,9,13,7,31
Jennifer Schultz,,,,,,,,0,7,1,4,4,4,7,3,4,7,3,2,3,2,3,1,0,1,9,16,2,31
Terri M Booker,,,,,,,,,0,2,6,13,7,3,6,6,3,6,3,5,3,4,2,1,1,8,16,4,31
Henry Mcgregor Sias,,,,,,,,,,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,20,2,2,31
Leon Goodman,,,,,,,,,,,0,6,7,4,5,4,6,6,5,4,5,3,1,3,2,9,12,4,31
Tiffany Palmer,,,,,,,,,,,,0,6,4,8,8,2,4,2,3,2,2,2,0,0,7,13,2,31
Chris Hall,,,,,,,,,,,,,0,3,3,5,3,4,1,4,2,0,2,2,0,5,8,3,31
Jon Marshall,,,,,,,,,,,,,,0,2,2,4,0,1,1,2,0,2,0,1,3,11,4,31
Laurie Dow,,,,,,,,,,,,,,,1,3,3,4,2,3,1,2,1,1,1,5,10,2,31
Beth Grossman,,,,,,,,,,,,,,,,0,3,4,1,3,2,3,3,1,0,8,6,3,31
Wendi Barish,,,,,,,,,,,,,,,,,0,3,6,4,4,3,2,1,0,5,8,2,31
Nicola Serianni,,,,,,,,,,,,,,,,,,0,3,2,1,1,0,4,0,6,7,2,31
Janine D Momasso,,,,,,,,,,,,,,,,,,,0,4,3,2,0,1,0,1,7,3,31
Kay Yu,,,,,,,,,,,,,,,,,,,,0,1,2,0,1,1,2,7,2,31
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,3,4,2,31
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,4,4,0,31
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,2,1,31
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,1,31
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,31
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,31
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,31
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31
Total,74,47,46,43,40,35,31,29,29,28,28,23,18,18,18,17,16,15,12,11,10,8,7,5,3,63,63,19,31
,Register Of Wills - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,32
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Joshua Roberts,Jennifer Schultz,Kendra Mccrae,Leon Goodman,Craig Levin,Terri M Booker,Laurie Dow,Jon Marshall,Beth Grossman,Wendi Barish,Carmella Jacquinto,Cateria R Mccabe,Sherman Toppin,Tiffany Palmer,Anthony Kyriakakis,Nicola Serianni,Henry Mcgregor Sias,Janine D Momasso,Chris Hall,James F Berardinelli,James C Crumlish,Vicki Markovitz,Gregory Weyer,Kay Yu,Robert Trimble,32
Tracey Gordon,3,0,0,16,20,20,22,14,17,14,14,10,11,7,8,8,11,5,9,4,3,8,3,2,6,5,4,2,32
Ronald R Donatucci,,4,0,9,5,3,5,3,4,1,4,5,2,4,5,5,2,4,1,4,4,1,3,1,0,0,0,0,32
Jacque P Whaumbush,,,3,4,4,3,1,4,3,4,1,2,2,4,0,0,0,2,1,0,2,0,2,3,0,0,1,1,32
Joshua Roberts,,,,0,10,6,7,11,6,6,11,8,9,8,7,6,6,6,2,4,2,3,2,6,2,0,0,0,32
Jennifer Schultz,,,,,0,5,5,10,5,3,9,9,10,2,4,1,3,2,5,0,3,1,3,1,2,0,3,0,32
Kendra Mccrae,,,,,,2,13,6,12,9,4,2,2,5,7,4,6,3,3,2,3,3,2,2,1,1,2,2,32
Leon Goodman,,,,,,,0,9,11,8,4,7,4,3,4,6,9,3,7,3,2,5,3,2,3,5,2,2,32
Craig Levin,,,,,,,,1,3,4,8,8,5,3,3,2,2,6,5,3,2,1,3,5,2,3,0,1,32
Terri M Booker,,,,,,,,,0,7,2,3,4,5,3,4,6,3,3,0,1,4,0,2,3,0,4,0,32
Laurie Dow,,,,,,,,,,1,2,2,4,8,2,6,4,4,1,3,2,2,3,3,1,0,2,2,32
Jon Marshall,,,,,,,,,,,0,5,3,1,4,2,4,2,1,0,1,4,0,2,0,1,0,0,32
Beth Grossman,,,,,,,,,,,,0,9,2,4,0,4,1,2,2,2,3,6,4,4,0,0,1,32
Wendi Barish,,,,,,,,,,,,,0,2,3,1,5,0,3,2,2,2,2,2,3,0,2,0,32
Carmella Jacquinto,,,,,,,,,,,,,,0,4,5,1,6,2,5,3,2,3,3,1,0,2,2,32
Cateria R Mccabe,,,,,,,,,,,,,,,0,6,1,7,2,6,3,2,3,1,1,0,1,0,32
Sherman Toppin,,,,,,,,,,,,,,,,0,4,6,0,6,1,1,0,1,0,1,0,0,32
Tiffany Palmer,,,,,,,,,,,,,,,,,0,0,2,1,1,4,0,0,0,2,0,1,32
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,0,3,5,1,1,1,0,1,1,1,0,32
Nicola Serianni,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,2,4,2,0,32
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,0,1,0,3,0,1,0,0,0,32
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,0,0,5,1,0,1,0,1,32
Chris Hall,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,2,32
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,1,32
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,32
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,32
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,32
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,32
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32
Total,66,26,14,32,31,31,31,27,25,21,20,19,18,17,17,16,15,13,12,11,10,9,9,8,7,5,5,4,32
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,33
,Joshua Roberts,Carmella Jacquinto,Cateria R Mccabe,Sherman Toppin,Anthony Kyriakakis,Terri M Booker,Craig Levin,Laurie Dow,Jennifer Schultz,Henry Mcgregor Sias,Kendra Mccrae,Leon Goodman,Tiffany Palmer,Jon Marshall,Janine D Momasso,Kay Yu,Beth Grossman,Chris Hall,Nicola Serianni,Wendi Barish,James C Crumlish,James F Berardinelli,Vicki Markovitz,Robert Trimble,Gregory Weyer,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,33
Joshua Roberts,1,28,29,30,32,10,15,4,20,27,8,8,5,17,1,4,3,3,2,7,4,0,3,0,0,44,19,10,33
Carmella Jacquinto,,0,30,26,28,13,5,8,3,26,10,13,5,2,8,5,3,4,3,2,3,5,2,2,0,30,12,10,33
Cateria R Mccabe,,,0,36,35,8,3,3,2,26,9,7,7,1,6,3,3,2,2,2,0,2,3,0,0,28,6,6,33
Sherman Toppin,,,,0,32,7,2,5,1,28,6,7,5,2,5,2,2,1,3,1,0,0,0,0,0,27,7,4,33
Anthony Kyriakakis,,,,,0,2,1,1,2,27,3,3,5,0,2,2,1,3,1,2,3,1,1,0,0,26,6,4,33
Terri M Booker,,,,,,3,6,15,5,2,12,16,12,7,6,8,6,8,6,6,4,1,3,1,0,14,16,5,33
Craig Levin,,,,,,,2,4,17,0,5,5,5,15,5,3,6,3,1,2,3,3,4,3,1,6,17,9,33
Laurie Dow,,,,,,,,2,6,2,12,12,11,7,9,4,5,5,3,3,5,1,1,1,1,11,15,6,33
Jennifer Schultz,,,,,,,,,0,1,4,5,6,19,5,4,7,3,6,5,3,2,3,0,0,5,20,8,33
Henry Mcgregor Sias,,,,,,,,,,0,2,4,2,0,1,4,1,0,1,0,0,1,0,0,1,23,4,2,33
Kendra Mccrae,,,,,,,,,,,3,12,11,4,7,4,4,3,5,3,0,3,0,2,3,6,15,6,33
Leon Goodman,,,,,,,,,,,,0,12,6,6,4,4,4,5,3,4,3,2,1,2,12,13,5,33
Tiffany Palmer,,,,,,,,,,,,,0,4,8,8,3,6,4,6,4,4,1,1,2,8,15,5,33
Jon Marshall,,,,,,,,,,,,,,1,4,1,5,1,1,1,2,1,3,0,0,7,14,4,33
Janine D Momasso,,,,,,,,,,,,,,,0,4,3,1,4,3,2,1,2,1,0,3,8,7,33
Kay Yu,,,,,,,,,,,,,,,,0,4,2,6,3,0,1,2,1,2,4,9,3,33
Beth Grossman,,,,,,,,,,,,,,,,,0,2,5,0,2,2,3,0,1,6,6,3,33
Chris Hall,,,,,,,,,,,,,,,,,,0,1,1,5,0,0,3,0,6,7,1,33
Nicola Serianni,,,,,,,,,,,,,,,,,,,0,3,1,1,2,0,1,2,10,1,33
Wendi Barish,,,,,,,,,,,,,,,,,,,,0,3,1,0,1,0,5,3,3,33
James C Crumlish,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,6,3,1,33
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,3,3,33
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,3,33
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,33
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,33
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,33
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,33
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33
Total,79,56,47,44,41,41,36,36,35,33,33,32,29,27,21,17,16,14,14,12,10,8,7,4,3,66,60,28,33
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,34
,Carmella Jacquinto,Cateria R Mccabe,Anthony Kyriakakis,Joshua Roberts,Leon Goodman,Sherman Toppin,Craig Levin,Tiffany Palmer,Beth Grossman,Jennifer Schultz,Kendra Mccrae,Laurie Dow,Henry Mcgregor Sias,Janine D Momasso,Wendi Barish,James C Crumlish,Chris Hall,Jon Marshall,James F Berardinelli,Vicki Markovitz,Nicola Serianni,Terri M Booker,Kay Yu,Robert Trimble,Gregory Weyer,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,34
Carmella Jacquinto,0,49,38,32,20,28,16,13,10,12,17,15,25,12,5,4,5,4,4,5,5,3,1,5,2,38,23,13,34
Cateria R Mccabe,,0,39,36,23,42,17,10,4,10,18,14,28,20,5,3,4,3,1,7,6,3,2,2,1,34,27,12,34
Anthony Kyriakakis,,,0,31,10,30,6,10,12,4,5,7,26,8,5,10,12,2,11,3,1,2,1,3,2,34,12,13,34
Joshua Roberts,,,,0,7,30,11,3,6,8,5,6,28,3,4,4,1,9,2,2,6,2,1,0,0,28,17,10,34
Leon Goodman,,,,,0,7,16,13,14,7,18,11,3,11,3,5,9,2,13,11,4,4,2,5,0,15,16,14,34
Sherman Toppin,,,,,,0,2,7,0,1,9,9,23,8,1,0,2,0,2,0,0,3,3,1,0,25,12,6,34
Craig Levin,,,,,,,2,9,11,10,3,8,3,4,3,5,5,7,1,10,5,3,1,4,0,18,12,9,34
Tiffany Palmer,,,,,,,,0,14,11,19,10,1,5,10,8,12,3,7,3,7,8,6,4,3,7,26,8,34
Beth Grossman,,,,,,,,,1,10,9,12,2,3,12,8,9,5,7,10,3,2,1,3,0,17,14,7,34
Jennifer Schultz,,,,,,,,,,1,7,3,4,9,8,3,1,9,1,2,7,3,0,2,1,7,21,8,34
Kendra Mccrae,,,,,,,,,,,0,10,2,7,7,4,5,4,5,2,3,5,3,2,0,4,23,9,34
Laurie Dow,,,,,,,,,,,,1,1,7,5,6,3,3,2,4,4,2,5,2,0,12,11,10,34
Henry Mcgregor Sias,,,,,,,,,,,,,1,1,2,0,0,1,1,1,2,2,1,1,0,18,8,6,34
Janine D Momasso,,,,,,,,,,,,,,0,6,0,0,0,1,5,4,2,1,0,2,7,12,7,34
Wendi Barish,,,,,,,,,,,,,,,0,5,4,3,2,6,9,4,3,1,2,9,13,4,34
James C Crumlish,,,,,,,,,,,,,,,,1,8,6,4,1,3,1,1,2,2,10,9,2,34
Chris Hall,,,,,,,,,,,,,,,,,0,1,7,2,1,4,1,2,0,8,10,2,34
Jon Marshall,,,,,,,,,,,,,,,,,,1,1,2,3,0,0,1,1,7,10,2,34
James F Berardinelli,,,,,,,,,,,,,,,,,,,0,2,1,1,0,2,1,7,6,2,34
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,0,2,2,2,2,0,11,3,5,34
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,0,2,2,1,2,2,12,4,34
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,1,7,6,34
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3,2,5,34
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,5,2,34
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,34
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,34
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,34
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34
Total,81,77,63,60,48,46,43,42,41,38,38,38,33,27,27,23,22,22,19,19,18,14,11,11,4,78,75,37,34
,Register Of Wills - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,35
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Joshua Roberts,Carmella Jacquinto,Craig Levin,Cateria R Mccabe,Jennifer Schultz,Kendra Mccrae,Sherman Toppin,Nicola Serianni,Leon Goodman,Terri M Booker,Tiffany Palmer,Laurie Dow,Anthony Kyriakakis,Vicki Markovitz,Henry Mcgregor Sias,Jon Marshall,Wendi Barish,Beth Grossman,James C Crumlish,Janine D Momasso,Chris Hall,Kay Yu,Gregory Weyer,James F Berardinelli,Robert Trimble,35
Ronald R Donatucci,1,0,0,21,12,11,17,5,4,12,6,5,6,4,4,7,9,8,4,3,0,2,5,0,1,0,1,1,35
Tracey Gordon,,2,0,12,8,6,5,15,12,4,8,6,7,9,8,5,1,2,5,6,7,2,1,6,3,2,0,1,35
Jacque P Whaumbush,,,0,5,7,9,2,1,2,1,1,4,2,2,2,1,2,0,1,1,1,3,3,1,1,1,2,0,35
Joshua Roberts,,,,1,10,4,9,6,3,10,4,2,2,2,0,9,2,9,6,2,1,4,1,2,1,0,1,1,35
Carmella Jacquinto,,,,,5,10,13,3,3,9,7,8,4,7,3,9,7,6,0,3,3,4,7,4,2,1,2,1,35
Craig Levin,,,,,,1,8,7,2,1,4,7,4,4,3,1,5,0,4,1,1,2,5,3,1,0,2,2,35
Cateria R Mccabe,,,,,,,0,6,5,9,2,7,5,5,3,9,4,7,0,2,1,0,5,2,1,0,0,1,35
Jennifer Schultz,,,,,,,,0,7,3,6,1,3,4,6,1,0,0,5,4,4,2,0,2,1,0,0,1,35
Kendra Mccrae,,,,,,,,,1,3,3,5,6,7,5,3,2,0,4,4,2,4,1,4,1,2,0,1,35
Sherman Toppin,,,,,,,,,,0,3,0,4,3,1,8,2,7,0,1,0,2,2,1,2,1,1,0,35
Nicola Serianni,,,,,,,,,,,0,2,2,4,3,1,4,2,3,5,4,3,2,2,1,2,2,0,35
Leon Goodman,,,,,,,,,,,,0,2,6,3,3,4,1,0,2,3,1,4,2,1,0,0,0,35
Terri M Booker,,,,,,,,,,,,,0,7,4,1,1,0,2,3,3,1,2,1,4,1,1,2,35
Tiffany Palmer,,,,,,,,,,,,,,0,4,1,3,0,1,2,3,2,1,3,1,0,0,1,35
Laurie Dow,,,,,,,,,,,,,,,0,0,1,0,1,3,4,1,2,1,1,0,2,1,35
Anthony Kyriakakis,,,,,,,,,,,,,,,,0,0,8,0,0,1,0,1,1,2,1,0,0,35
Vicki Markovitz,,,,,,,,,,,,,,,,,0,1,1,2,2,2,6,0,0,1,2,0,35
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,1,1,1,0,35
Jon Marshall,,,,,,,,,,,,,,,,,,,1,3,1,3,0,1,0,0,0,0,35
Wendi Barish,,,,,,,,,,,,,,,,,,,,0,3,1,2,1,1,1,0,0,35
Beth Grossman,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,2,1,0,35
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,1,35
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,35
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,35
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,35
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,35
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,35
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35
Total,43,41,16,40,33,27,24,21,20,17,16,15,15,15,14,13,13,11,11,10,9,9,9,8,5,4,4,3,35
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,36
,Joshua Roberts,Sherman Toppin,Cateria R Mccabe,Anthony Kyriakakis,Carmella Jacquinto,Jennifer Schultz,Henry Mcgregor Sias,Craig Levin,Jon Marshall,Laurie Dow,James C Crumlish,Janine D Momasso,Kendra Mccrae,Nicola Serianni,Leon Goodman,Wendi Barish,James F Berardinelli,Kay Yu,Terri M Booker,Tiffany Palmer,Beth Grossman,Chris Hall,Gregory Weyer,Robert Trimble,Vicki Markovitz,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,36
Joshua Roberts,2,27,27,23,22,11,20,9,11,0,3,0,1,3,2,1,0,2,1,0,0,1,2,1,0,34,12,6,36
Sherman Toppin,,1,26,22,22,1,20,0,1,2,0,3,4,2,3,1,1,0,3,0,0,0,0,1,0,25,2,3,36
Cateria R Mccabe,,,0,19,22,0,20,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,1,0,24,2,2,36
Anthony Kyriakakis,,,,0,18,3,18,0,0,2,1,1,2,2,0,0,1,2,2,1,0,1,1,0,1,23,1,1,36
Carmella Jacquinto,,,,,2,0,18,2,0,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,21,0,3,36
Jennifer Schultz,,,,,,3,0,10,9,3,4,3,2,4,0,4,1,3,1,3,2,1,1,0,1,2,19,2,36
Henry Mcgregor Sias,,,,,,,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,20,1,0,36
Craig Levin,,,,,,,,0,8,2,5,2,0,3,0,1,2,0,0,0,0,0,1,0,0,3,9,2,36
Jon Marshall,,,,,,,,,1,0,3,0,0,3,1,1,0,0,0,0,0,0,1,1,0,2,9,1,36
Laurie Dow,,,,,,,,,,0,3,4,3,1,1,2,2,1,2,2,1,0,0,0,1,1,3,3,36
James C Crumlish,,,,,,,,,,,0,2,0,2,0,0,2,0,0,1,0,1,1,0,1,1,3,3,36
Janine D Momasso,,,,,,,,,,,,0,3,1,2,2,3,0,2,0,1,0,0,0,0,0,4,3,36
